MC_run,Sample_index,Param_fixed,Voffset_V
1.0,59,0.0,-0.00166796043
1.0,60,0.0,0.00257479853
1.0,61,0.0,-0.0026922473
1.0,62,0.0,0.00297570247
1.0,63,0.0,0.000225305403
1.0,64,0.0,-0.00092361299
1.0,65,0.0,-0.000791866391
1.0,66,0.0,-0.00268629487
1.0,67,0.0,0.00125280252
1.0,68,0.0,-0.00123581175
1.0,69,0.0,0.00124880295
1.0,70,0.0,-0.0012710576
1.0,71,0.0,-0.00137502995
1.0,72,0.0,0.00185576865
1.0,73,0.0,0.000577088275
1.0,74,0.0,-7.87921394e-05
1.0,75,0.0,-0.000915279973
1.0,76,0.0,-0.0018142224
1.0,77,0.0,-0.00201630385
1.0,78,0.0,-0.000297420528
1.0,79,0.0,-0.000546880946
1.0,80,0.0,0.00173893926
1.0,81,0.0,0.000151066029
1.0,82,0.0,-0.000564760063
1.0,83,0.0,-0.000474581585
1.0,84,0.0,-0.00279788571
1.0,85,0.0,4.783734e-05
1.0,86,0.0,0.00202102896
1.0,87,0.0,-0.00236081414
1.0,88,0.0,-0.00160641608
1.0,89,0.0,-0.00072378736
1.0,90,0.0,-0.0022654601
1.0,91,0.0,0.00115923477
1.0,92,0.0,-0.00148249617
1.0,93,0.0,-0.00292631723
1.0,94,0.0,-0.000522379352
1.0,95,0.0,-0.000763152989
1.0,96,0.0,-0.000990417682
1.0,97,0.0,-0.00106615759
1.0,98,0.0,0.00213189314
1.0,99,0.0,-0.000446912813
1.0,100,0.0,0.00405973228
1.0,101,0.0,0.000101935631
1.0,102,0.0,-0.000504052641
1.0,103,0.0,0.000502178384
1.0,104,0.0,0.00161211694
1.0,105,0.0,0.000786958631
1.0,106,0.0,0.000826376812
1.0,107,0.0,0.000466164752
1.0,108,0.0,-0.00111701215
1.0,109,0.0,0.00376076429
1.0,110,0.0,-0.000106019673
1.0,111,0.0,0.000375234623
1.0,112,0.0,0.00120870853
1.0,113,0.0,-0.000798822745
1.0,114,0.0,0.00103586623
1.0,115,0.0,0.000523368402
1.0,116,0.0,0.00194870581
1.0,117,0.0,0.00234229237
1.0,118,0.0,-0.000302015915
1.0,119,0.0,-0.00147352197
1.0,120,0.0,4.22836113e-05
1.0,121,0.0,-0.00328243883
1.0,122,0.0,-0.000450393968
1.0,123,0.0,-0.000533208773
1.0,124,0.0,0.000856022668
1.0,125,0.0,-0.00188777259
1.0,126,0.0,-0.00045774278
1.0,127,0.0,-0.000199182815
1.0,128,0.0,-0.00166484079
1.0,129,0.0,-0.00216870024
1.0,130,0.0,0.000793376505
1.0,131,0.0,0.000741053303
1.0,132,0.0,-0.00108517003
1.0,133,0.0,-0.000483527496
1.0,134,0.0,-0.00114112829
1.0,135,0.0,0.0027759417
1.0,136,0.0,0.000657275518
1.0,137,0.0,0.0016590823
1.0,138,0.0,0.00109751665
1.0,139,0.0,0.000259927253
1.0,140,0.0,0.00219387177
1.0,141,0.0,-5.46719232e-05
1.0,142,0.0,-0.00217246143
1.0,143,0.0,0.000694883328
1.0,144,0.0,0.00206905611
1.0,145,0.0,0.00323880672
1.0,146,0.0,-0.00177424426
1.0,147,0.0,-0.000263525492
1.0,148,0.0,-0.00244501601
1.0,149,0.0,0.000749450896
1.0,150,0.0,-0.00187891009
1.0,151,0.0,0.000407561197
1.0,152,0.0,-0.000745957176
1.0,153,0.0,3.46774514e-05
1.0,154,0.0,0.00245989653
1.0,155,0.0,0.000477381715
1.0,156,0.0,0.000638565953
1.0,157,0.0,-0.00231893649
1.0,158,0.0,0.000803443508
1.0,159,0.0,0.00239801395
1.0,160,0.0,0.000416073779
1.0,161,0.0,-0.00188327607
1.0,162,0.0,0.00185382987
1.0,163,0.0,-0.000202609218
1.0,164,0.0,0.000964631702
1.0,165,0.0,-2.99534485e-05
1.0,166,0.0,0.000318484474
1.0,167,0.0,0.00233688374
1.0,168,0.0,0.00121153527
1.0,169,0.0,0.00224836837
1.0,170,0.0,-0.000534730235
1.0,171,0.0,0.00105450597
1.0,172,0.0,0.000168441272
1.0,173,0.0,-0.00258856085
1.0,174,0.0,0.00114570195
1.0,175,0.0,0.00112184823
1.0,176,0.0,-0.00352097294
1.0,177,0.0,0.00128391953
1.0,178,0.0,-0.000312556089
1.0,179,0.0,-0.00065892865
1.0,180,0.0,0.00108188712
1.0,181,0.0,0.00407156459
1.0,182,0.0,-0.00209327295
1.0,183,0.0,0.0019064492
1.0,184,0.0,0.00210181699
1.0,185,0.0,9.06944561e-05
1.0,186,0.0,0.000569003849
1.0,187,0.0,-0.000415857774
1.0,188,0.0,0.000372440564
1.0,189,0.0,-0.000631922444
1.0,190,0.0,0.00128395372
1.0,191,0.0,0.000462375087
1.0,192,0.0,0.000710967356
1.0,193,0.0,-0.00020017747
1.0,194,0.0,-0.00183311645
1.0,195,0.0,0.000842878457
1.0,196,0.0,-0.000337916442
1.0,197,0.0,0.000564993903
1.0,198,0.0,0.000451225694
1.0,199,0.0,-0.00222613596
